Modelo,Accuracy,AUC ROC,F2-score,Tiempo entrenamiento / ajuste (s)
Random Forest básico,0.8726114649681529,0.9436698722638774,0.855072463768116,5.8651556968688965
Random Forest optimizado,0.8757961783439491,0.9435518329265365,0.8541147132169576,198.91410541534424
XGBoost binario,0.8757961783439491,0.941511020581768,0.8513738551207327,1.575770378112793
MLP básico threshold 0.5,0.8554140127388535,0.9205936695796043,0.7793867120954003,25.41404676437378
MLP básico threshold 0.4,0.8490445859872612,0.9205936695796043,0.8285361842105263,25.41404676437378
MLP optimizado,0.8203821656050956,0.8952083833293336,0.7983706720977597,24.18779706954956
